Investor ID,Name,Country of registration/origin,Classification,Investor homepage,Opencorporates link,Comment,Action comment
37277,PT Mukomuko Agro Sejahtera,Indonesia,Private company,,,,
37278,PT Citra Sawit Mandiri,Indonesia,Private company,,,,
37279,PT Agro Kati Lama,Indonesia,Private company,,,,
37280,PT Agro Muko,Indonesia,Private company,,,,
37281,Koaru Resource Owners Company,Papua New Guinea,Private company,,,,
37282,PT Agro Muara Rupit,Indonesia,Private company,,,,
37283,PT Agro Rawas Ulu,Indonesia,Private company,,,,
37284,Ang Agro Forest Management Ltd,Papua New Guinea,Private company,,,,
37285,Unknown (Perilya),Dominican Republic,Private company,,,,
37286,Minera Panamá SA.,Panama,Private company,,,,
37287,Pershimco Resources Inc.,Panama,Private company,,,,
37288,Unknown ( New Forests Company Holdings),Uganda,Private company,,,,
37289,Busoga Forest Company,Uganda,Private company,,,,
37292,Unknown (ENI and Sonangol),Angola,Private company,,,,
37293,PALMCI,Côte d'Ivoire,Private company,,,,
37295,Mercatalonia Banjul Co. Ltd,"Gambia, The",Private company,,,,
37296,Unknown (Andrah Pradesh State),Kenya,Private company,,,,
37299,"Unknown (B2 Gold Co., in Nicaragua, 37299)",Nicaragua,Private company,,,,
37305,Sun Resort Investment Lanka Private Limited,Sri Lanka,Private company,,,,
37306,Forest Development Fund,Vietnam,Private company,,,,
37307,Unknown (Le Minh Company Ltd),Vietnam,Private company,,,,
37308,Unknown (Copra Products Ltd),Papua New Guinea,Private company,,,,
37309,Ivanhoe Energy Ecuador Inc.,Ecuador,Private company,,,,
37311,Tosigiba Investments Limited,Papua New Guinea,Private company,,,,
37312,San Carlos Bioenergy,Philippines,Private company,,,,
37313,Unknown (Bronzeoak),Philippines,Private company,,,,
37314,"Palmas del Ixcán, S.A.",Guatemala,Private company,,,,
37316,Chabil Utzaj,Guatemala,Private company,,,,
37319,Unknown (Benh Hoeurk Kratie Rubber 1 Co Ltd),Cambodia,Private company,,,,
37320,Unknown (Palma Hacienda Ltd),Papua New Guinea,Private company,,,,
37322,Arepas Don Juancho,Colombia,Private company,,,"There is no certainty about the name of the Operating Company. Some (Including the ombudsperson) refer to it as Arepas don Juancho, but others call it as Arepas don Pancho. It seems that it belongs to a company called Pajumar SAS. 74.9 of this last company belongs to the Daughter and Wife of the businessman Juan Guillermo Vélez Jaramillo.

Source: https://www.youtube.com/watch?v=nJMX7G9TAKw",
37323,"Unknown (NRG Chemicals, Philippine National Oil Co)",Philippines,Private company,,,,
37325,Unknown (African Trading Hall (ATH)),South Africa,Private company,,,,
37326,Okena Goto Karato Development Corporation Ltd,Papua New Guinea,Private company,,,,
37327,One Uni-Development Ltd,Papua New Guinea,Private company,,,,
37328,"Unknown (Gohill Timber , in Papua New Guinea, 37328)",Papua New Guinea,Private company,,,,
