Investor ID Downstream,Investor Name Downstream,Investor ID Upstream,Investor Name Upstream,Relation type,Investment type,Ownership share,Loan amount,Loan currency,Loan date,Comment
40668,Orilkalatinvest LLC,40610,Zolotyi svitanok (Agro) LLC,Parent company,,,,,,
40669,Supina Agro LLC,40607,Bio Kray LLC,Parent company,,,,,,
40670,Krayevyd-Agro LLC,40607,Bio Kray LLC,Parent company,,,,,,
40671,Charivnyi lan LLC,40590,Ray Agro LLC,Parent company,,,,,,
40674,Aquifer Ltd,40675,The Gatsby Charitable Foundation,Tertiary investor/lender,,,,,,
40672,Mozfoods SA,40674,Aquifer Ltd,Parent company,,,,,,
40673,Moçfer Industrias Alimentares,40672,Mozfoods SA,Parent company,,,,,,
40678,Green River Technology Inc.,40677,Palmabio S.A.S,Parent company,,,,,,
40680,LLL Holdings Inc.,40648,Ayala Land Inc.,Parent company,,,,,,
40682,MES Invest Ukraine LLC,40681,MES Invest B.V.,Parent company,,,,,,
40683,Mriya Agroholdyng LLC,3867,Mriya Agro Holding Public Limited,Parent company,,,,,,
40683,Mriya Agroholdyng LLC,40682,MES Invest Ukraine LLC,Parent company,,,,,,
40684,Mriya Pidgaitsi LLC,40683,Mriya Agroholdyng LLC,Parent company,,,,,,
35597,Biocombustibles Sostenibles del Caribe SA,3908,Daabon Organic,Parent company,,,,,,
35597,Biocombustibles Sostenibles del Caribe SA,40685,Palmeras de la Costa S.A.,Parent company,,,,,,
35137,TVI Resource Development Philippines Inc.,400,TVI Pacific Inc.,Parent company,,,,,,
40688,Manila South Coast Development Corporation,40689,SM Land Inc.,Parent company,,,,,,
38013,"Unknown (City Government of Taguig, Laguna Lake Development Authority (LLDA))",2938,Laguna Lake Development Authority (LLDA),Parent company,,,,,,
38013,"Unknown (City Government of Taguig, Laguna Lake Development Authority (LLDA))",480,City Government of Taguig,Parent company,,,,,,
40707,Lufafa Mine PTY Ltd,40704,Ingwenyama [King Mswati],Parent company,,,,,,
40707,Lufafa Mine PTY Ltd,40705,Government of Swaziland,Parent company,,,,,,
40707,Lufafa Mine PTY Ltd,40706,SDZ Mine PTY Ltd,Parent company,,,,,,
40709,Vicwood Centrafrique,40710,Vicwood,Parent company,,,,,,
40712,Société Centrafricaine Forestière,40711,Fadoul,Parent company,,,,,,
40714,Société d' Exploitation  Forestière de Centrafrique,40713,Nasrali & Jamal,Parent company,,,,,,
40716,Sociètè Centrafricaine de Développement,40715,SCD,Parent company,,,,,,
40718,Industrie Forestière de Batalimo,40717,Familial,Parent company,,,,,,
40721,"Unknown (African Palm Corp, Ngalipomi)",40719,African Palm Corp. (APC),Parent company,,,,,,
40721,"Unknown (African Palm Corp, Ngalipomi)",40720,Ngalipomi,Parent company,,,,,,
40722,PT. Inocin Abadi,2260,Korindo Group,Parent company,,,,,,
40662,Ancor Investments Ltd.,3865,Astarta Holding NV,Parent company,,,,,,
40731,Unknown operating company (#162702),40730,Government of the People's Republic of China,Parent company,,,,,,
39117,SODEFOR,3577,Precious Woods Holding AG,Parent company,,,,,,
39117,SODEFOR,40733,Realwood Establishment,Parent company,,,,,,
39117,SODEFOR,40734,Kreglinger International,Parent company,,,,,,
39542,AgroKIM Ltd,40725,Slobozhanschyna Agro PAE,Parent company,,,,,,
38962,La Société Forestière et des Matières Ligneuses Africaines (SOFORMA),3577,Precious Woods Holding AG,Parent company,,,,,,
38962,La Société Forestière et des Matières Ligneuses Africaines (SOFORMA),40733,Realwood Establishment,Parent company,,,,,,
38962,La Société Forestière et des Matières Ligneuses Africaines (SOFORMA),40734,Kreglinger International,Parent company,,,,,,
38930,Forabola,3577,Precious Woods Holding AG,Parent company,,,,,,
38930,Forabola,40733,Realwood Establishment,Parent company,,,,,,
