FCL Item code,FCL Title,Group,Scientific Name,Common Name,Definition
0894,"Whole Milk, Evaporated",18 - PRODUCTS FROM LIVE ANIMALS,,,Milk and cream from which the water has been partly removed and which has been heat- treated to render it bacteriologically safe and stable.
0895,"Skim Milk, Evaporated",18 - PRODUCTS FROM LIVE ANIMALS,,,"Same as 0894, but applied to skim milk."
0896,"Skim Milk, Condensed",18 - PRODUCTS FROM LIVE ANIMALS,,,"Same as 0889, but applied to skim milk."
0897,Dry Whole Cow Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,"Milk and cream from which water has been completely removed by various methods. In form of powder, granules or other solid forms. May contain added sugar or other sweeteners."
0898,Dry Skim Cow Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,"Same as 0897, but from skim milk. Normally does not exceed 1.5% fat content."
0899,Dry Buttermilk,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
0900,Dry Whey,18 - PRODUCTS FROM LIVE ANIMALS,,,Used in both food and animal feed.
0901,Cheese from Whole Cow Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,Curd of milk that has been coagulated and separated from whey. May include some skimmed milk.
0903,"Whey, Fresh",18 - PRODUCTS FROM LIVE ANIMALS,,,"The liquid part of the milk that remains after the separation of curd in cheese making. Its main food use is in the preparation of whey cheese, whey drinks and fermented whey drinks. The main industrial uses are in the manufacture of lactose, whey paste and dried whey."
0904,Cheese from Skimmed Cow Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,May include some whole milk.
0905,Whey Cheese,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
0907,Processed Cheese,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
0908,Reconstituted Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,"Obtained by adding water, fat, etc. to milk powder."
0909,"Products of Natural Milk Constitue, nes",18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
0910,Ice Cream and Edible Ice,18 - PRODUCTS FROM LIVE ANIMALS,,,"A product with a milk or cream base to which sweeteners, eggs, etc. have been added."
0916,Egg Albumin,18 - PRODUCTS FROM LIVE ANIMALS,,,The main protein constituent of egg white.
0917,Casein,18 - PRODUCTS FROM LIVE ANIMALS,,,The main protein constituent of milk. Casein is obtained from skimmed milk by precipitation (curdling) with acids or rennet.
0919,"Cattle hides, fresh",19 - HIDES AND SKINS,,,Green hide or skin as removed from the carcass of the animal (adult bovine). Used for production data only.
0920,"Hides, Wet-Salted (Cattle)",19 - HIDES AND SKINS,,,Approximately 80-85% of green weight.
0921,"Hides, Dry-Salted (Cattle)",19 - HIDES AND SKINS,,,"Includes dry and dry-salted, approximately 35% and 55% of green weight, respectively."
0922,"Hides nes, Cattle",19 - HIDES AND SKINS,,,"Limed, pickled or otherwise preserved."
0927,"Skins, fresh (calves)",19 - HIDES AND SKINS,,,See 0919. From young bovine animals.
0928,"Skins, Wet-Salted (Calves)",19 - HIDES AND SKINS,,,See 0920.
0929,"Skins, Dry-Salted (Calves)",19 - HIDES AND SKINS,,,See 0921.
0930,"Skins nes, Calves",19 - HIDES AND SKINS,,,See 0922.
0946,Buffaloes,16 - LIVESTOCK,"Bubalus bubalus; Bubalus arnee; Bubalus depressicornis 
genus Syncerus 
Bison bison 
Bison bonasus","Indian, Asiatic, pigmy, water buffalo 

African buffalo 
American bison 
European bison 
beeffalo (cross between a bison and a domesticated beef animal)",See 0866. Excludes wild bisons and buffaloes.
0947,Buffalo meat,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen, with bone in or boneless."
0948,"Offals of buffalo, edible",17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
0949,Fat of buffalo,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,See 0869.
0951,Buffalo milk,18 - PRODUCTS FROM LIVE ANIMALS,,,See 0882 and derived products.
0952,Butter of Buffalo Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
0953,"Ghee, from Buffalo Milk",18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
0954,Skim Milk of Buffalo,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
0955,Cheese of Buffalo Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
0957,"Buffalo hides, fresh",19 - HIDES AND SKINS,,,See 0919. Both adult and young animals.
0958,"Hides, Wet-Salted (Buffalo)",19 - HIDES AND SKINS,,,See 0920.
0959,"Hides, Dry-Salted (Buffalo)",19 - HIDES AND SKINS,,,See 0921.
0976,Sheep,16 - LIVESTOCK,Ovis spp.,,"See 0866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan."
0977,Meat of sheep,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat of sheep and lamb, whether fresh, chilled or frozen, with bone inor boneless."
